,Product Name,Product SKU ID,Product Price,Product Category,Product Image URL,Product Rating,Product Stock,Product Reorder Point,Stockout Flag
0,Thompson And Sons Belt,SKU-ACC-001-S,22.15,Accessories,https://picsum.photos/66/131,2.3,50,50,0
1,Thompson And Sons Belt,SKU-ACC-001-M,22.15,Accessories,https://picsum.photos/66/131,2.3,50,50,0
2,Thompson And Sons Belt,SKU-ACC-001-L,22.15,Accessories,https://picsum.photos/66/131,2.3,50,50,0
3,Ortega-Gardner Sneakers,SKU-FOT-002-S,375.74,Footwear,https://placekitten.com/217/520,4.4,152,40,0
4,Ortega-Gardner Sneakers,SKU-FOT-002-M,375.74,Footwear,https://placekitten.com/217/520,4.4,152,40,0
5,Ortega-Gardner Sneakers,SKU-FOT-002-L,375.74,Footwear,https://placekitten.com/217/520,4.4,152,40,0
6,"Cross, Williams And Stein Trousers",SKU-BTM-003-S,198.45,Bottoms,https://picsum.photos/430/5,2.1,149,50,0
7,"Cross, Williams And Stein Trousers",SKU-BTM-003-M,198.45,Bottoms,https://picsum.photos/430/5,2.1,149,50,0
8,"Cross, Williams And Stein Trousers",SKU-BTM-003-L,198.45,Bottoms,https://picsum.photos/430/5,2.1,149,50,0
9,Randall Llc T-Shirt,SKU-TOP-004-S,369.11,Tops,https://placekitten.com/738/835,2.5,22,30,1
10,Randall Llc T-Shirt,SKU-TOP-004-M,369.11,Tops,https://placekitten.com/738/835,2.5,22,30,1
11,Randall Llc T-Shirt,SKU-TOP-004-L,369.11,Tops,https://placekitten.com/738/835,2.5,22,30,1
12,"Smith, Liu And Richardson Casual Dress",SKU-ONP-005-S,85.3,Dresses/One-Pieces,https://dummyimage.com/763x38,3.6,118,30,0
13,"Smith, Liu And Richardson Casual Dress",SKU-ONP-005-M,85.3,Dresses/One-Pieces,https://dummyimage.com/763x38,3.6,118,30,0
14,"Smith, Liu And Richardson Casual Dress",SKU-ONP-005-L,85.3,Dresses/One-Pieces,https://dummyimage.com/763x38,3.6,118,30,0
15,Rogers-Meyers Jumpsuit,SKU-ONP-006-S,94.19,Dresses/One-Pieces,https://placekitten.com/453/851,4.4,163,30,0
16,Rogers-Meyers Jumpsuit,SKU-ONP-006-M,94.19,Dresses/One-Pieces,https://placekitten.com/453/851,4.4,163,30,0
17,Rogers-Meyers Jumpsuit,SKU-ONP-006-L,94.19,Dresses/One-Pieces,https://placekitten.com/453/851,4.4,163,30,0
18,"Gonzalez, Carpenter And Gomez Jeans",SKU-BTM-007-S,115.63,Bottoms,https://picsum.photos/86/428,5.0,31,40,1
19,"Gonzalez, Carpenter And Gomez Jeans",SKU-BTM-007-M,115.63,Bottoms,https://picsum.photos/86/428,5.0,31,40,1
20,"Gonzalez, Carpenter And Gomez Jeans",SKU-BTM-007-L,115.63,Bottoms,https://picsum.photos/86/428,5.0,31,40,1
21,"Daugherty, Conner And Estrada Sandals",SKU-FOT-008-S,240.24,Footwear,https://dummyimage.com/51x678,4.0,145,40,0
22,"Daugherty, Conner And Estrada Sandals",SKU-FOT-008-M,240.24,Footwear,https://dummyimage.com/51x678,4.0,145,40,0
23,"Daugherty, Conner And Estrada Sandals",SKU-FOT-008-L,240.24,Footwear,https://dummyimage.com/51x678,4.0,145,40,0
24,Hawkins-Howell Flats,SKU-FOT-009-S,421.77,Footwear,https://placekitten.com/161/87,4.5,170,40,0
25,Hawkins-Howell Flats,SKU-FOT-009-M,421.77,Footwear,https://placekitten.com/161/87,4.5,170,40,0
26,Hawkins-Howell Flats,SKU-FOT-009-L,421.77,Footwear,https://placekitten.com/161/87,4.5,170,40,0
27,Blake Ltd Belt,SKU-ACC-010-S,172.02,Accessories,https://picsum.photos/143/414,4.9,90,20,0
28,Blake Ltd Belt,SKU-ACC-010-M,172.02,Accessories,https://picsum.photos/143/414,4.9,90,20,0
29,Blake Ltd Belt,SKU-ACC-010-L,172.02,Accessories,https://picsum.photos/143/414,4.9,90,20,0
30,James-Sullivan Romper,SKU-ONP-011-S,105.89,Dresses/One-Pieces,https://picsum.photos/634/390,2.3,25,50,1
31,James-Sullivan Romper,SKU-ONP-011-M,105.89,Dresses/One-Pieces,https://picsum.photos/634/390,2.3,25,50,1
32,James-Sullivan Romper,SKU-ONP-011-L,105.89,Dresses/One-Pieces,https://picsum.photos/634/390,2.3,25,50,1
33,"Robertson, Allen And Foster Sandals",SKU-FOT-012-S,73.81,Footwear,https://dummyimage.com/412x648,2.9,86,60,0
34,"Robertson, Allen And Foster Sandals",SKU-FOT-012-M,73.81,Footwear,https://dummyimage.com/412x648,2.9,86,60,0
35,"Robertson, Allen And Foster Sandals",SKU-FOT-012-L,73.81,Footwear,https://dummyimage.com/412x648,2.9,86,60,0
36,White And Sons Jacket,SKU-OUT-013-S,201.23,Outerwear,https://dummyimage.com/470x490,2.6,182,50,0
37,White And Sons Jacket,SKU-OUT-013-M,201.23,Outerwear,https://dummyimage.com/470x490,2.6,182,50,0
38,White And Sons Jacket,SKU-OUT-013-L,201.23,Outerwear,https://dummyimage.com/470x490,2.6,182,50,0
39,Gilbert Llc Scarf,SKU-ACC-014-S,173.54,Accessories,https://placekitten.com/359/792,4.3,7,60,1
40,Gilbert Llc Scarf,SKU-ACC-014-M,173.54,Accessories,https://placekitten.com/359/792,4.3,7,60,1
41,Gilbert Llc Scarf,SKU-ACC-014-L,173.54,Accessories,https://placekitten.com/359/792,4.3,7,60,1
42,"Liu, Jones And Thompson Casual Dress",SKU-ONP-015-S,447.27,Dresses/One-Pieces,https://placekitten.com/674/570,4.9,168,40,0
43,"Liu, Jones And Thompson Casual Dress",SKU-ONP-015-M,447.27,Dresses/One-Pieces,https://placekitten.com/674/570,4.9,168,40,0
44,"Liu, Jones And Thompson Casual Dress",SKU-ONP-015-L,447.27,Dresses/One-Pieces,https://placekitten.com/674/570,4.9,168,40,0
45,"Ballard, Hartman And Henderson Casual Dress",SKU-ONP-016-S,390.34,Dresses/One-Pieces,https://dummyimage.com/109x512,1.5,21,40,1
46,"Ballard, Hartman And Henderson Casual Dress",SKU-ONP-016-M,390.34,Dresses/One-Pieces,https://dummyimage.com/109x512,1.5,21,40,1
47,"Ballard, Hartman And Henderson Casual Dress",SKU-ONP-016-L,390.34,Dresses/One-Pieces,https://dummyimage.com/109x512,1.5,21,40,1
48,"Andrade, Wilson And Robinson Shorts",SKU-BTM-017-S,405.89,Bottoms,https://placekitten.com/888/803,2.9,180,20,0
49,"Andrade, Wilson And Robinson Shorts",SKU-BTM-017-M,405.89,Bottoms,https://placekitten.com/888/803,2.9,180,20,0
