,Return ID,Order ID,Return Date,Returned Item,Refund Reason,Resolution,Processing Days,is_missing_Processing Days
0,RET-091,ORD-091,2025-05-09,Perez-Hardy Scarf,???,Refund,3.0,0
1,RET-837,ORD-837,2025-05-31,"Turner, Petersen and Mcdowell Jumpsuit",Wrong size,Refund,3.0,0
2,RET-403,ORD-403,2025-05-28,Torres LLC Jeans,Wrong size,Refund,2.0,0
3,RET-670,ORD-670,2025-05-08,Perez-Hardy Scarf,Arrived too late,Store Credit,2.0,0
4,RET-766,ORD-766,2025-05-10,Boone-Brown Sneakers,Poor quality,Refund,3.0,0
5,RET-509,ORD-509,2025-05-26,"Hall, Hurst and Snow Maxi Dress",Arrived too late,Refund,2.0,0
6,RET-921,ORD-921,2025-05-26,Torres LLC Jeans,Wrong size,Refund,2.0,0
7,RET-296,ORD-296,2025-05-17,Thompson-Harrell Casual Dress,Wrong size,Refund,1.0,0
8,RET-992,ORD-992,2025-05-06,Taylor-Jenkins Maxi Dress,Wrong size,Refund,3.0,0
9,RET-411,ORD-411,2025-05-31,Taylor-Jenkins Maxi Dress,Item damaged,Store Credit,3.0,0
10,RET-148,ORD-148,2025-05-19,Perez-Hardy Scarf,Poor quality,Store Credit,2.0,0
11,RET-929,ORD-929,2025-05-19,Jones Inc Hat,Poor quality,Exchange - Size,2.0,0
12,RET-784,ORD-784,2025-05-05,Taylor-Jenkins Maxi Dress,Changed mind,Exchange - Item,2.0,0
13,RET-625,ORD-625,2025-05-19,"Hall, Hurst and Snow Maxi Dress",Arrived too late,Exchange - Item,3.0,0
14,RET-099,ORD-099,2025-05-21,Thompson-Harrell Casual Dress,Wrong item sent,Refund,2.0,0
15,RET-023,ORD-023,2025-05-06,Perez-Hardy Scarf,Changed mind,Refund,1.0,0
16,RET-493,ORD-493,2025-05-08,Torres LLC Jeans,???,Exchange - Item,2.0,0
17,RET-704,ORD-704,2025-05-26,"Turner, Petersen and Mcdowell Jumpsuit",Changed mind,Store Credit,3.0,0
18,RET-586,ORD-586,2025-05-31,"Glover, Carroll and Khan Belt",Changed mind,Store Credit,3.0,0
19,RET-145,ORD-145,2025-05-29,Jones Inc Hat,Wrong item sent,No Action,1.0,0
20,RET-534,ORD-534,2025-05-26,"Wright, Brown and Ruiz Trench Coat",???,Store Credit,3.0,0
21,RET-973,ORD-973,2025-05-25,Taylor-Jenkins Maxi Dress,Item damaged,Refund,3.0,0
22,RET-965,ORD-965,2025-05-31,Thompson-Harrell Casual Dress,Wrong size,Exchange - Size,3.0,0
23,RET-419,ORD-419,2025-05-09,"Hall, Hurst and Snow Maxi Dress",Wrong size,Refund,2.0,1
24,RET-449,ORD-449,2025-05-22,"Wright, Brown and Ruiz Trench Coat",Wrong size,Refund,2.0,0
25,RET-576,ORD-576,2025-05-31,"Cervantes, Norton and Williams Sandals",Wrong item sent,Refund,3.0,0
26,RET-907,ORD-907,2025-05-14,Ramirez-Watson Sneakers,???,Partial Refund,3.0,0
27,RET-148,ORD-148,2025-05-18,Perez-Hardy Scarf,Poor quality,Refund,3.0,0
28,RET-438,ORD-438,2025-05-31,"Hall, Hurst and Snow Maxi Dress",Item damaged,Exchange - Size,1.0,0
29,RET-760,ORD-760,2025-05-07,Boone-Brown Sneakers,Changed mind,Store Credit,1.0,0
30,RET-780,ORD-780,2025-05-10,"Hayes, Reeves and Marshall Shorts",Wrong size,Exchange - Size,2.0,1
31,RET-342,ORD-342,2025-05-31,"Glover, Carroll and Khan Belt",Wrong item sent,Store Credit,3.0,0
32,RET-191,ORD-191,2025-05-28,Lara-Larsen Hat,Poor quality,No Action,3.0,0
33,RET-146,ORD-146,2025-05-04,"Cervantes, Norton and Williams Sandals",Wrong item sent,No Action,1.0,0
34,RET-367,ORD-367,2025-05-15,"Hall, Hurst and Snow Maxi Dress",???,Refund,3.0,0
35,RET-773,ORD-773,2025-05-08,Thompson-Harrell Casual Dress,???,Exchange - Item,1.0,0
36,RET-202,ORD-202,2025-05-31,Ramirez-Watson Sneakers,Wrong size,No Action,3.0,0
37,RET-291,ORD-291,2025-05-09,"Glover, Carroll and Khan Belt",Wrong item sent,Refund,2.0,0
38,RET-932,ORD-932,2025-05-05,Thompson-Harrell Casual Dress,Wrong size,Refund,2.0,0
39,RET-478,ORD-478,2025-05-31,Ramirez-Watson Sneakers,Item damaged,Refund,2.0,0
40,RET-991,ORD-991,2025-05-20,"Cervantes, Norton and Williams Sandals",???,Partial Refund,3.0,0
41,RET-419,ORD-419,2025-05-09,"Hall, Hurst and Snow Maxi Dress",???,Refund,3.0,0
42,RET-825,ORD-825,2025-05-08,Torres LLC Jeans,Arrived too late,Refund,3.0,0
43,RET-802,ORD-802,2025-05-31,"Cervantes, Norton and Williams Sandals",Item damaged,No Action,3.0,0
44,RET-649,ORD-649,2025-05-06,Brown Group Maxi Dress,???,Refund,2.0,0
45,RET-191,ORD-191,2025-05-29,Lara-Larsen Hat,Item damaged,Refund,1.0,0
46,RET-035,ORD-035,2025-05-31,"Hayes, Reeves and Marshall Shorts",Changed mind,Partial Refund,3.0,0
47,RET-563,ORD-563,2025-05-14,Allen-Reese Sandals,Arrived too late,Refund,2.0,0
48,RET-367,ORD-367,2025-05-14,"Hall, Hurst and Snow Maxi Dress",Wrong size,Refund,2.0,0
49,RET-410,ORD-410,2025-05-15,"Turner, Petersen and Mcdowell Jumpsuit",Wrong size,Refund,2.0,0
