,Product Ordered,Demand
0,SKU-ACC-008-L,9
1,SKU-ACC-008-M,14
2,SKU-ACC-008-S,3
3,SKU-ACC-015-L,10
4,SKU-ACC-015-M,15
5,SKU-ACC-015-S,4
6,SKU-BTM-013-L,9
7,SKU-BTM-013-M,15
8,SKU-BTM-013-S,13
9,SKU-BTM-016-L,21
10,SKU-BTM-016-M,10
11,SKU-BTM-016-S,7
12,SKU-FOT-004-L,2
13,SKU-FOT-004-M,31
14,SKU-FOT-004-S,12
15,SKU-FOT-010-L,7
16,SKU-FOT-010-M,8
17,SKU-FOT-010-S,16
18,SKU-FOT-014-L,12
19,SKU-FOT-014-M,11
20,SKU-FOT-014-S,15
21,SKU-ONP-002-L,9
22,SKU-ONP-002-M,34
23,SKU-ONP-002-S,14
24,SKU-ONP-003-L,18
25,SKU-ONP-003-M,11
26,SKU-ONP-003-S,21
27,SKU-ONP-005-L,19
28,SKU-ONP-005-M,15
29,SKU-ONP-005-S,12
30,SKU-ONP-006-L,14
31,SKU-ONP-006-M,2
32,SKU-ONP-006-S,12
33,SKU-ONP-007-L,12
34,SKU-ONP-007-M,7
35,SKU-ONP-007-S,2
36,SKU-ONP-011-L,5
37,SKU-ONP-011-M,11
38,SKU-ONP-011-S,8
39,SKU-ONP-017-M,5
40,SKU-ONP-017-S,9
41,SKU-OUT-009-L,8
42,SKU-OUT-009-M,5
43,SKU-OUT-009-S,7
44,SKU-OUT-012-L,7
45,SKU-OUT-012-M,10
46,SKU-OUT-012-S,27
47,SKU-TOP-001-L,24
48,SKU-TOP-001-M,14
49,SKU-TOP-001-S,7
