,Return ID,Order ID,Units Returned,Return Date,Returned Item,Refund Reason,Resolution,Processing Days
0,RET-414,ORD-414,3,2025-06-28,SKU-ACC-013-S,Changed mind,Refund,3.0
1,RET-075,ORD-075,1,2025-06-26,SKU-ACC-010-M,Wrong size,Refund,2.0
2,RET-911,ORD-911,1,2025-06-15,SKU-ACC-013-S,Wrong size,Exchange - Size,1.0
3,RET-387,ORD-387,1,2025-06-30,SKU-BTM-016-M,???,Store Credit,3.0
4,RET-921,ORD-921,2,2025-06-20,SKU-ACC-015-S,Poor quality,Exchange - Size,1.0
5,RET-040,ORD-040,1,2025-06-22,SKU-ACC-013-M,Item damaged,Exchange - Size,1.0
6,RET-195,ORD-195,4,2025-06-16,SKU-BTM-008-L,Changed mind,Exchange - Size,3.0
7,RET-887,ORD-887,1,2025-06-21,SKU-TOP-014-L,Changed mind,Exchange - Size,2.0
8,RET-837,ORD-837,3,2025-06-23,SKU-ACC-015-S,Wrong item sent,Partial Refund,2.0
9,RET-301,ORD-301,2,2025-06-11,SKU-ACC-015-M,Poor quality,Exchange - Size,2.0
10,RET-180,ORD-180,3,2025-06-13,SKU-ONP-009-M,Wrong size,Store Credit,3.0
11,RET-992,ORD-992,1,2025-06-09,SKU-FOT-017-M,Wrong item sent,Refund,1.0
12,RET-102,ORD-102,3,2025-06-21,SKU-ONP-006-S,Wrong item sent,Refund,2.0
13,RET-250,ORD-250,1,2025-06-27,SKU-ONP-003-L,Wrong size,Refund,3.0
14,RET-326,ORD-326,2,2025-06-20,SKU-ACC-013-M,Arrived too late,Exchange - Item,1.0
15,RET-992,ORD-992,1,2025-06-12,SKU-FOT-017-M,???,Exchange - Size,2.0
16,RET-964,ORD-964,2,2025-06-12,SKU-ACC-010-M,Arrived too late,Refund,1.0
17,RET-414,ORD-414,5,2025-06-30,SKU-ACC-013-S,Item damaged,Refund,3.0
18,RET-314,ORD-314,2,2025-06-16,SKU-BTM-016-L,Wrong item sent,Exchange - Size,2.0
19,RET-539,ORD-539,2,2025-06-30,SKU-ONP-006-M,Item damaged,Refund,2.0
20,RET-382,ORD-382,3,2025-06-20,SKU-ACC-005-L,???,Exchange - Size,1.0
21,RET-995,ORD-995,1,2025-06-25,SKU-FOT-017-M,Poor quality,Refund,2.0
22,RET-902,ORD-902,1,2025-06-20,SKU-TOP-014-L,Arrived too late,Refund,3.0
23,RET-201,ORD-201,1,2025-06-17,SKU-ONP-006-L,Changed mind,Refund,
24,RET-326,ORD-326,2,2025-06-25,SKU-ACC-013-M,Changed mind,Refund,1.0
25,RET-623,ORD-623,1,2025-06-16,SKU-BTM-016-M,???,Store Credit,2.0
26,RET-301,ORD-301,1,2025-06-13,SKU-ACC-015-M,Wrong size,No Action,2.0
27,RET-573,ORD-573,1,2025-06-20,SKU-TOP-014-L,Poor quality,Exchange - Size,3.0
28,RET-570,ORD-570,3,2025-06-30,SKU-ONP-002-S,Wrong size,Exchange - Size,3.0
29,RET-009,ORD-009,2,2025-06-30,SKU-TOP-001-L,Wrong size,Partial Refund,2.0
30,RET-548,ORD-548,2,2025-06-30,SKU-TOP-012-L,Changed mind,Exchange - Size,
31,RET-934,ORD-934,1,2025-06-25,SKU-ONP-002-L,Wrong size,Exchange - Size,3.0
32,RET-887,ORD-887,2,2025-06-24,SKU-TOP-014-L,Arrived too late,Refund,3.0
33,RET-662,ORD-662,2,2025-06-13,SKU-ONP-011-S,Arrived too late,Exchange - Size,3.0
34,RET-251,ORD-251,4,2025-06-22,SKU-ONP-002-L,Wrong item sent,Partial Refund,3.0
35,RET-601,ORD-601,1,2025-06-25,SKU-BTM-016-M,???,Partial Refund,3.0
36,RET-131,ORD-131,1,2025-06-08,SKU-BTM-008-S,Wrong size,Refund,2.0
37,RET-964,ORD-964,1,2025-06-10,SKU-ACC-010-M,???,Refund,3.0
38,RET-306,ORD-306,1,2025-06-09,SKU-ACC-015-S,Changed mind,Refund,2.0
39,RET-581,ORD-581,3,2025-06-14,SKU-ACC-013-S,???,Refund,3.0
40,RET-007,ORD-007,4,2025-06-21,SKU-ONP-003-L,Item damaged,No Action,2.0
41,RET-869,ORD-869,1,2025-06-12,SKU-TOP-014-M,Arrived too late,Exchange - Size,1.0
42,RET-724,ORD-724,1,2025-06-29,SKU-ACC-005-L,Arrived too late,Refund,1.0
43,RET-449,ORD-449,2,2025-06-07,SKU-ONP-011-L,Wrong size,Refund,2.0
44,RET-981,ORD-981,2,2025-06-23,SKU-TOP-007-L,Wrong size,Exchange - Item,1.0
45,RET-266,ORD-266,1,2025-06-28,SKU-BTM-004-S,Wrong size,Partial Refund,2.0
46,RET-797,ORD-797,3,2025-06-06,SKU-ONP-003-S,Wrong size,Refund,2.0
47,RET-064,ORD-064,3,2025-06-27,SKU-BTM-004-S,Arrived too late,Refund,3.0
48,RET-241,ORD-241,1,2025-06-13,SKU-ONP-009-M,Wrong size,Refund,3.0
49,RET-306,ORD-306,1,2025-06-05,SKU-BTM-004-L,???,Partial Refund,2.0
