,Product Name,Product SKU ID,Product Price,Product Category,Product Image URL,Product Rating,Product Stock,Product Reorder Point,Stockout Flag
0,"Copeland, Randall And Figueroa Sandals S",SKU-FOT-001-S,264.43,Footwear,https://placekitten.com/626/722,2.5,9,5,0
1,"Copeland, Randall And Figueroa Sandals M",SKU-FOT-001-M,264.43,Footwear,https://placekitten.com/626/722,4.4,9,3,0
2,"Copeland, Randall And Figueroa Sandals L",SKU-FOT-001-L,264.43,Footwear,https://placekitten.com/626/722,3.5,0,6,1
3,"Gill, Kent And Mcmahon Sweater S",SKU-TOP-002-S,375.32,Tops,https://dummyimage.com/501x972,1.8,0,2,1
4,"Gill, Kent And Mcmahon Sweater M",SKU-TOP-002-M,375.32,Tops,https://dummyimage.com/501x972,4.1,10,2,0
5,"Gill, Kent And Mcmahon Sweater L",SKU-TOP-002-L,375.32,Tops,https://dummyimage.com/501x972,4.4,0,5,1
6,Floyd-Flynn Jumpsuit S,SKU-ONP-003-S,325.8,Dresses/One-Pieces,https://picsum.photos/938/332,2.4,8,2,0
7,Floyd-Flynn Jumpsuit M,SKU-ONP-003-M,325.8,Dresses/One-Pieces,https://picsum.photos/938/332,3.3,5,3,0
8,Floyd-Flynn Jumpsuit L,SKU-ONP-003-L,325.8,Dresses/One-Pieces,https://picsum.photos/938/332,2.9,1,6,1
9,Lowe Llc Blazer S,SKU-OUT-004-S,482.62,Outerwear,https://dummyimage.com/314x790,4.9,6,2,0
10,Lowe Llc Blazer M,SKU-OUT-004-M,482.62,Outerwear,https://dummyimage.com/314x790,4.8,7,2,0
11,Lowe Llc Blazer L,SKU-OUT-004-L,482.62,Outerwear,https://dummyimage.com/314x790,4.8,9,6,0
12,Harvey-Ellis Blazer S,SKU-OUT-005-S,51.57,Outerwear,https://picsum.photos/747/109,2.3,6,4,0
13,Harvey-Ellis Blazer M,SKU-OUT-005-M,51.57,Outerwear,https://picsum.photos/747/109,1.8,1,3,1
14,Harvey-Ellis Blazer L,SKU-OUT-005-L,51.57,Outerwear,https://picsum.photos/747/109,3.5,7,5,0
15,Johnson-Lopez Jumpsuit S,SKU-ONP-006-S,62.82,Dresses/One-Pieces,https://picsum.photos/856/459,4.6,3,3,0
16,Johnson-Lopez Jumpsuit M,SKU-ONP-006-M,62.82,Dresses/One-Pieces,https://picsum.photos/856/459,1.5,4,2,0
17,Johnson-Lopez Jumpsuit L,SKU-ONP-006-L,62.82,Dresses/One-Pieces,https://picsum.photos/856/459,1.7,0,2,1
18,Davis-Rojas Belt S,SKU-ACC-007-S,202.62,Accessories,https://dummyimage.com/304x773,1.2,10,6,0
19,Davis-Rojas Belt M,SKU-ACC-007-M,202.62,Accessories,https://dummyimage.com/304x773,2.3,2,4,1
20,Davis-Rojas Belt L,SKU-ACC-007-L,202.62,Accessories,https://dummyimage.com/304x773,3.1,4,4,0
21,Perry Group Scarf S,SKU-ACC-008-S,171.69,Accessories,https://picsum.photos/149/192,4.7,2,3,1
22,Perry Group Scarf M,SKU-ACC-008-M,171.69,Accessories,https://picsum.photos/149/192,4.5,6,5,0
23,Perry Group Scarf L,SKU-ACC-008-L,171.69,Accessories,https://picsum.photos/149/192,1.9,4,2,0
