,Return ID,Order ID,Units Returned,Return Date,Returned Item,Refund Reason,Resolution,Processing Days,Bulk Order Flag,is_missing_Processing Days
0,RET-583,ORD-583,1,2025-08-07,SKU-ONP-009-L,Wrong size,Refund,1.0,False,0
1,RET-241,ORD-241,3,2025-08-31,SKU-BTM-008-L,???,Refund,3.0,False,0
2,RET-471,ORD-471,2,2025-08-09,SKU-TOP-007-L,Wrong size,Refund,1.0,False,0
3,RET-947,ORD-947,1,2025-08-07,SKU-TOP-012-M,Arrived too late,Exchange - Item,2.0,False,0
4,RET-591,ORD-591,1,2025-08-18,SKU-BTM-004-S,Wrong item sent,Refund,1.0,False,0
5,RET-310,ORD-310,5,2025-08-25,SKU-TOP-014-L,Arrived too late,Refund,1.0,False,0
6,RET-507,ORD-507,1,2025-08-31,SKU-BTM-004-S,Item damaged,Refund,1.0,False,0
7,RET-513,ORD-513,4,2025-08-20,SKU-BTM-004-M,Poor quality,Refund,2.0,False,0
8,RET-792,ORD-792,3,2025-08-05,SKU-ACC-010-L,Arrived too late,Refund,1.0,False,0
9,RET-730,ORD-730,3,2025-08-27,SKU-ONP-003-L,Wrong size,Refund,2.0,False,0
10,RET-148,ORD-148,2,2025-08-25,SKU-TOP-014-M,Item damaged,Exchange - Size,1.0,False,0
11,RET-386,ORD-386,2,2025-08-26,SKU-ACC-010-M,Wrong item sent,Refund,1.0,False,0
12,RET-447,ORD-447,1,2025-08-28,SKU-ONP-002-S,Wrong size,Exchange - Size,3.0,False,0
13,RET-002,ORD-002,1,2025-08-17,SKU-ACC-015-S,Wrong size,Refund,3.0,False,0
14,RET-374,ORD-374,4,2025-08-18,SKU-ONP-002-S,Arrived too late,Store Credit,3.0,False,0
15,RET-103,ORD-103,1,2025-08-12,SKU-TOP-007-S,???,Refund,2.0,False,0
16,RET-214,ORD-214,2,2025-08-31,SKU-ONP-006-L,Wrong size,Refund,2.0,False,0
17,RET-540,ORD-540,1,2025-08-13,SKU-FOT-017-M,Wrong size,Exchange - Item,2.0,False,1
18,RET-070,ORD-070,3,2025-08-13,SKU-ONP-002-L,Wrong size,Partial Refund,3.0,False,0
19,RET-285,ORD-285,1,2025-08-11,SKU-ONP-009-S,Poor quality,Exchange - Size,3.0,False,0
20,RET-816,ORD-816,5,2025-08-14,SKU-BTM-008-S,Wrong size,Refund,2.0,False,0
21,RET-808,ORD-808,1,2025-08-30,SKU-BTM-016-M,Arrived too late,Refund,1.0,False,0
22,RET-359,ORD-359,4,2025-08-11,SKU-TOP-012-L,Wrong size,Store Credit,1.0,False,0
23,RET-676,ORD-676,1,2025-08-09,SKU-ONP-006-M,Changed mind,Exchange - Size,2.0,False,0
24,RET-730,ORD-730,1,2025-08-24,SKU-ONP-003-L,Wrong item sent,Exchange - Item,3.0,False,0
25,RET-488,ORD-488,1,2025-08-14,SKU-BTM-008-L,Arrived too late,Refund,2.0,False,1
26,RET-051,ORD-051,3,2025-08-21,SKU-TOP-014-S,Arrived too late,Refund,3.0,False,0
27,RET-292,ORD-292,1,2025-08-31,SKU-TOP-001-L,Wrong size,Exchange - Size,3.0,False,0
28,RET-543,ORD-543,3,2025-08-12,SKU-ONP-011-M,Wrong size,Refund,3.0,False,0
29,RET-952,ORD-952,1,2025-08-24,SKU-BTM-016-S,Item damaged,Exchange - Size,1.0,False,0
30,RET-947,ORD-947,1,2025-08-06,SKU-TOP-012-M,Wrong size,Exchange - Item,2.0,False,0
31,RET-149,ORD-149,1,2025-08-25,SKU-ONP-011-S,Arrived too late,Refund,1.0,False,0
32,RET-977,ORD-977,1,2025-08-30,SKU-BTM-008-S,Wrong item sent,Exchange - Size,1.0,False,0
33,RET-164,ORD-164,3,2025-08-22,SKU-TOP-001-S,???,Refund,2.0,False,0
34,RET-447,ORD-447,3,2025-08-28,SKU-ONP-002-S,Wrong size,Store Credit,2.0,False,0
35,RET-371,ORD-371,3,2025-08-24,SKU-ACC-010-M,Wrong item sent,Exchange - Size,3.0,False,0
36,RET-221,ORD-221,5,2025-08-20,SKU-ONP-011-S,Poor quality,Refund,1.0,False,0
37,RET-290,ORD-290,1,2025-08-31,SKU-TOP-001-L,Arrived too late,Refund,1.0,False,0
38,RET-034,ORD-034,4,2025-08-18,SKU-TOP-007-M,Wrong size,Refund,1.0,False,0
39,RET-292,ORD-292,1,2025-08-31,SKU-TOP-001-L,Wrong size,Exchange - Item,2.0,False,0
40,RET-002,ORD-002,1,2025-08-18,SKU-ACC-015-S,???,Exchange - Item,3.0,False,0
41,RET-194,ORD-194,3,2025-08-21,SKU-BTM-008-S,???,Exchange - Size,1.0,False,0
42,RET-184,ORD-184,1,2025-08-15,SKU-TOP-012-L,???,Store Credit,1.0,False,0
43,RET-552,ORD-552,4,2025-08-24,SKU-TOP-012-L,Changed mind,Refund,1.0,False,0
44,RET-408,ORD-408,1,2025-08-03,SKU-FOT-017-S,Arrived too late,Refund,2.0,False,0
45,RET-784,ORD-784,2,2025-08-15,SKU-ONP-002-S,Poor quality,Exchange - Size,2.0,False,0
46,RET-515,ORD-515,4,2025-08-06,SKU-ACC-010-S,Wrong item sent,Refund,2.0,False,0
47,RET-919,ORD-919,3,2025-08-23,SKU-ONP-003-L,Item damaged,No Action,3.0,False,0
48,RET-890,ORD-890,2,2025-08-31,SKU-TOP-007-S,Wrong item sent,Exchange - Size,2.0,False,0
49,RET-224,ORD-224,3,2025-08-16,SKU-TOP-001-L,Wrong size,Refund,2.0,False,0
